,req_info,req_id,t,pl_num
492,477,53,[1276    0    1    0],1
493,478,55,[1332    0    1    0],1
494,479,0,[0 0 0 0],13
495,480,57,[739   1   1   0],1
496,480,56,[564   0   0   0],2
497,481,58,[1117    1    1    0],4
498,482,59,[1315    0    1    0],4
499,483,60,[83  1  0  0],2
500,484,62,[74  1  0  0],2
501,484,61,[667   1   1   0],1
502,485,0,[0 0 0 0],13
503,486,63,[569   0   1   0],2
504,487,64,[744   0   1   0],1
505,488,65,[356   1   0   0],2
506,488,66,[1060    0    1    0],1
507,489,68,[169   0   1   0],1
508,489,67,[49  0  0  0],8
509,490,70,[250   1   1   0],1
510,490,69,[641   0   0   0],1
511,491,72,[451   1   0   0],4
512,491,71,[155   1   1   0],8
513,492,0,[0 0 0 0],13
514,493,73,[184   1   1   0],8
515,494,0,[0 0 0 0],13
516,495,0,[0 0 0 0],13
517,496,74,[4 0 0 0],4
518,496,75,[284   1   1   0],4
519,497,0,[0 0 0 0],13
520,498,0,[0 0 0 0],13
521,499,76,[1127    0    0    0],4
522,500,77,[757   0   1   0],4
523,501,78,[1322    0    0    0],4
524,502,79,[96  0  1  0],4
525,503,80,[385   0   1   0],4
526,503,81,[514   1   0   0],11
527,504,82,[1063    1    0    0],11
528,505,0,[0 0 0 0],13
529,506,0,[0 0 0 0],13
530,507,414,[27  1  1  1],8
531,508,0,[0 0 0 0],13
532,509,83,[326   0   0   0],11
533,510,0,[0 0 0 0],13
534,511,84,[608   1   0   0],11
535,512,85,[601   1   0   0],11
536,513,0,[0 0 0 0],13
537,514,0,[0 0 0 0],13
538,515,0,[0 0 0 0],13
539,516,86,[723   1   0   0],11
540,517,87,[666   0   0   0],11
541,518,88,[654   1   1   0],11
542,519,91,[1101    0    1    0],3
543,519,89,[7 0 1 0],3
544,519,90,[293   1   1   0],3
545,520,0,[0 0 0 0],13
546,521,0,[0 0 0 0],13
547,522,92,[889   0   0   0],7
548,522,93,[543   0   1   0],3
549,523,94,[685   0   1   0],7
550,524,95,[770   0   1   0],7
551,525,0,[0 0 0 0],13
552,526,96,[548   1   1   0],6
553,527,97,[49  1  0  0],10
554,528,98,[818   0   1   0],3
555,529,0,[0 0 0 0],13
556,530,0,[0 0 0 0],13
557,531,0,[0 0 0 0],13
558,532,99,[595   1   0   0],6
559,533,100,[81  1  0  0],11
560,534,0,[0 0 0 0],13
561,535,101,[510   0   0   0],7
562,535,103,[7 0 1 0],2
563,535,102,[807   1   1   0],11
564,536,0,[0 0 0 0],13
565,537,0,[0 0 0 0],13
566,538,104,[321   0   0   0],8
567,539,0,[0 0 0 0],13
568,540,105,[620   0   1   0],8
569,541,0,[0 0 0 0],13
570,542,106,[12  1  0  0],7
571,543,0,[0 0 0 0],13
572,544,0,[0 0 0 0],13
573,545,108,[1173    1    0    0],2
574,545,107,[110   1   1   0],1
575,546,109,[570   1   0   0],1
576,547,110,[345   0   0   0],0
577,548,111,[198   1   0   0],0
578,549,113,[318   1   0   0],0
579,549,112,[790   1   0   0],0
580,550,0,[0 0 0 0],13
581,551,114,[116   1   0   0],5
582,552,115,[675   1   0   0],10
583,553,116,[338   0   0   0],0
584,554,117,[44  0  0  0],0
585,555,0,[0 0 0 0],13
586,556,118,[524   0   0   0],7
587,556,119,[46  0  0  0],1
588,557,122,[409   0   0   0],0
589,557,120,[329   1   0   0],0
590,557,121,[749   0   1   0],0
591,558,123,[1320    1    1    0],0
592,558,124,[110   1   1   0],0
593,559,0,[0 0 0 0],13
594,560,125,[521   0   1   0],0
595,561,0,[0 0 0 0],13
596,562,126,[436   1   1   0],0
597,563,127,[452   1   1   0],0
598,563,128,[610   1   0   0],0
599,564,0,[0 0 0 0],13
600,565,129,[690   1   1   0],1
601,566,130,[456   1   0   0],0
602,567,133,[699   1   0   0],0
603,567,134,[413   1   1   0],1
604,567,131,[377   0   0   0],0
605,567,132,[468   0   0   0],0
606,568,135,[122   1   0   0],0
607,569,136,[365   1   0   0],0
608,569,137,[593   0   0   0],0
609,570,139,[738   0   0   0],0
610,570,138,[11  0  0  0],0
611,571,140,[810   0   1   0],0
612,572,142,[174   0   0   0],0
613,572,143,[1076    0    1    0],0
614,572,141,[847   1   0   0],0
615,573,144,[686   1   1   0],0
616,574,145,[554   0   0   0],0
617,574,146,[486   1   1   0],0
618,575,0,[0 0 0 0],13
619,576,147,[685   0   1   0],0
620,577,0,[0 0 0 0],13
621,578,149,[99  0  0  0],0
622,578,148,[131   1   0   0],0
623,579,150,[662   1   0   0],0
624,580,0,[0 0 0 0],13
625,581,153,[629   0   0   0],10
626,581,152,[539   1   1   0],0
627,581,151,[55  0  1  0],0
628,582,0,[0 0 0 0],13
629,583,154,[641   1   1   0],0
630,584,155,[503   1   1   0],0
631,585,156,[479   0   1   0],0
632,585,157,[1286    1    0    0],0
633,585,158,[1276    1    1    0],0
634,586,159,[505   0   0   0],0
635,587,0,[0 0 0 0],13
636,588,160,[64  1  0  0],0
637,589,162,[1294    1    0    0],0
638,589,161,[14  0  0  0],0
639,590,0,[0 0 0 0],13
640,591,163,[17  0  1  0],0
641,592,165,[593   1   1   0],0
642,592,167,[132   1   0   0],0
643,592,166,[769   1   0   0],0
644,592,164,[764   1   1   0],0
645,593,168,[37  0  0  0],0
646,594,169,[36  1  1  0],0
647,595,170,[792   1   0   0],0
648,596,171,[896   0   1   0],0
649,597,173,[144   1   1   0],0
650,597,172,[113   1   1   0],0
651,597,174,[637   0   0   0],0
652,598,175,[697   0   0   0],0
653,599,0,[0 0 0 0],13
654,600,415,[25  1  0  1],2
655,601,416,[29  1  0  1],0
656,601,176,[644   0   0   0],10
657,601,177,[460   0   0   0],0
658,602,0,[0 0 0 0],13
659,603,178,[643   1   0   0],0
660,604,0,[0 0 0 0],13
661,605,179,[113   0   1   0],4
662,606,417,[39  1  1  1],0
663,606,180,[172   1   0   0],1
664,607,0,[0 0 0 0],13
665,608,418,[3 0 1 1],0
666,609,182,[724   0   1   0],0
667,609,181,[1239    0    0    0],0
668,610,0,[0 0 0 0],13
669,611,0,[0 0 0 0],13
670,612,0,[0 0 0 0],13
671,613,183,[96  0  0  0],0
672,614,185,[503   0   1   0],0
673,614,184,[32  1  0  0],0
674,615,0,[0 0 0 0],13
675,616,0,[0 0 0 0],13
676,617,0,[0 0 0 0],13
677,618,188,[86  1  1  0],11
678,618,186,[95  1  1  0],0
679,618,187,[365   1   0   0],0
680,619,419,[26  0  1  1],0
681,620,0,[0 0 0 0],13
682,621,0,[0 0 0 0],13
683,622,0,[0 0 0 0],13
684,623,189,[687   1   1   0],0
685,624,190,[622   1   1   0],0
686,625,191,[890   1   0   0],0
687,626,0,[0 0 0 0],13
688,627,0,[0 0 0 0],13
689,628,192,[792   1   0   0],0
690,629,193,[614   1   0   0],2
691,629,194,[196   0   0   0],0
692,629,195,[740   0   1   0],0
693,630,196,[1206    1    0    0],0
694,631,0,[0 0 0 0],13
695,632,197,[764   0   0   0],0
696,633,0,[0 0 0 0],13
697,634,198,[675   0   1   0],0
698,635,420,[83  1  0  2],2
699,636,0,[0 0 0 0],13
700,637,199,[92  1  1  0],0
701,638,200,[345   0   1   0],0
702,639,0,[0 0 0 0],13
703,640,0,[0 0 0 0],13
704,641,201,[900   1   0   0],0
705,642,202,[71  1  0  0],0
706,643,421,[44  1  1  1],0
707,644,204,[732   0   1   0],0
708,644,205,[324   0   1   0],0
709,644,203,[82  1  1  0],10
710,645,422,[9 0 0 1],0
711,646,0,[0 0 0 0],13
712,647,206,[557   1   1   0],0
713,647,207,[862   0   1   0],0
714,648,208,[589   1   0   0],0
715,649,210,[849   1   1   0],0
716,649,209,[402   0   0   0],8
717,650,0,[0 0 0 0],13
718,651,0,[0 0 0 0],13
719,652,0,[0 0 0 0],13
720,653,211,[795   0   1   0],0
721,654,0,[0 0 0 0],13
722,655,423,[54  0  0  1],0
723,656,212,[605   0   0   0],0
724,656,213,[541   1   0   0],0
725,657,214,[888   1   1   0],0
726,658,0,[0 0 0 0],13
727,659,0,[0 0 0 0],13
728,660,424,[39  1  0  1],0
729,660,215,[653   1   1   0],3
730,661,425,[41  1  0  1],0
731,662,216,[50  1  0  0],0
732,663,0,[0 0 0 0],13
733,664,0,[0 0 0 0],13
734,665,218,[771   1   1   0],0
735,665,217,[19  0  0  0],0
736,666,219,[646   0   1   0],0
737,666,220,[1187    0    1    0],0
738,667,426,[81  1  1  2],2
739,667,221,[96  1  1  0],0
740,668,0,[0 0 0 0],13
741,669,0,[0 0 0 0],13
742,670,0,[0 0 0 0],13
743,671,222,[648   0   1   0],0
744,672,223,[793   1   0   0],0
745,673,427,[34  0  0  1],5
746,674,428,[64  1  0  2],2
747,674,429,[60  1  1  1],0
748,675,430,[24  0  1  1],0
749,676,432,[35  1  1  1],0
