,req_id,t,req_info,pl_num
136,136,0,[0 0 0 0],13
137,137,0,[0 0 0 0],13
138,138,0,[0 0 0 0],13
139,139,0,[0 0 0 0],13
140,140,0,[0 0 0 0],13
141,141,0,[0 0 0 0],13
142,142,0,[0 0 0 0],13
143,143,0,[0 0 0 0],13
144,144,0,[0 0 0 0],13
145,145,0,[0 0 0 0],13
146,146,0,[0 0 0 0],13
147,147,0,[0 0 0 0],13
148,148,0,[0 0 0 0],13
149,149,0,[0 0 0 0],13
150,150,0,[0 0 0 0],13
151,151,0,[0 0 0 0],13
152,152,0,[0 0 0 0],13
153,153,0,[0 0 0 0],13
154,154,0,[0 0 0 0],13
155,155,0,[0 0 0 0],13
156,156,0,[0 0 0 0],13
157,157,0,[0 0 0 0],13
158,158,0,[0 0 0 0],13
159,159,0,[0 0 0 0],13
160,160,0,[0 0 0 0],13
161,161,0,[0 0 0 0],13
162,162,0,[0 0 0 0],13
163,163,0,[0 0 0 0],13
164,164,0,[0 0 0 0],13
165,165,0,[0 0 0 0],13
166,166,3,[1334    1    0    0],10
167,167,0,[0 0 0 0],13
168,168,0,[0 0 0 0],13
169,169,0,[0 0 0 0],13
170,170,0,[0 0 0 0],13
171,171,0,[0 0 0 0],13
172,172,0,[0 0 0 0],13
173,173,0,[0 0 0 0],13
174,174,0,[0 0 0 0],13
175,175,0,[0 0 0 0],13
176,176,0,[0 0 0 0],13
177,177,0,[0 0 0 0],13
178,178,0,[0 0 0 0],13
179,179,0,[0 0 0 0],13
180,180,0,[0 0 0 0],13
181,181,0,[0 0 0 0],13
182,182,0,[0 0 0 0],13
183,183,0,[0 0 0 0],13
184,184,0,[0 0 0 0],13
185,185,0,[0 0 0 0],13
186,186,0,[0 0 0 0],13
187,187,0,[0 0 0 0],13
188,188,0,[0 0 0 0],13
189,189,0,[0 0 0 0],13
190,190,0,[0 0 0 0],13
191,191,0,[0 0 0 0],13
192,192,0,[0 0 0 0],13
193,193,0,[0 0 0 0],13
194,194,0,[0 0 0 0],13
195,195,0,[0 0 0 0],13
196,196,0,[0 0 0 0],13
197,197,0,[0 0 0 0],13
198,198,0,[0 0 0 0],13
199,199,0,[0 0 0 0],13
200,200,0,[0 0 0 0],13
201,201,0,[0 0 0 0],13
202,202,4,[825   1   0   0],10
203,203,0,[0 0 0 0],13
204,204,0,[0 0 0 0],13
205,205,0,[0 0 0 0],13
206,206,0,[0 0 0 0],13
207,207,0,[0 0 0 0],13
208,208,0,[0 0 0 0],13
209,209,0,[0 0 0 0],13
210,210,0,[0 0 0 0],13
211,211,0,[0 0 0 0],13
212,212,0,[0 0 0 0],13
213,213,0,[0 0 0 0],13
214,214,0,[0 0 0 0],13
215,215,0,[0 0 0 0],13
216,216,0,[0 0 0 0],13
217,217,0,[0 0 0 0],13
218,218,0,[0 0 0 0],13
219,219,0,[0 0 0 0],13
220,220,0,[0 0 0 0],13
221,221,0,[0 0 0 0],13
222,222,0,[0 0 0 0],13
223,223,0,[0 0 0 0],13
224,224,0,[0 0 0 0],13
225,225,0,[0 0 0 0],13
226,226,0,[0 0 0 0],13
227,227,0,[0 0 0 0],13
228,228,0,[0 0 0 0],13
229,229,0,[0 0 0 0],13
230,230,0,[0 0 0 0],13
231,231,0,[0 0 0 0],13
232,232,0,[0 0 0 0],13
233,233,0,[0 0 0 0],13
234,234,0,[0 0 0 0],13
235,235,0,[0 0 0 0],13
236,236,0,[0 0 0 0],13
237,237,0,[0 0 0 0],13
238,238,0,[0 0 0 0],13
239,239,0,[0 0 0 0],13
240,240,0,[0 0 0 0],13
241,241,0,[0 0 0 0],13
242,242,0,[0 0 0 0],13
243,243,0,[0 0 0 0],13
244,244,0,[0 0 0 0],13
245,245,0,[0 0 0 0],13
246,246,0,[0 0 0 0],13
247,247,0,[0 0 0 0],13
248,248,0,[0 0 0 0],13
249,249,0,[0 0 0 0],13
250,250,0,[0 0 0 0],13
251,251,0,[0 0 0 0],13
252,252,0,[0 0 0 0],13
253,253,0,[0 0 0 0],13
254,254,0,[0 0 0 0],13
255,255,0,[0 0 0 0],13
256,256,0,[0 0 0 0],13
257,257,0,[0 0 0 0],13
258,258,0,[0 0 0 0],13
259,259,0,[0 0 0 0],13
260,260,0,[0 0 0 0],13
261,261,0,[0 0 0 0],13
262,262,0,[0 0 0 0],13
263,263,0,[0 0 0 0],13
264,264,0,[0 0 0 0],13
265,265,0,[0 0 0 0],13
266,266,0,[0 0 0 0],13
267,267,0,[0 0 0 0],13
268,268,0,[0 0 0 0],13
269,269,0,[0 0 0 0],13
270,270,0,[0 0 0 0],13
271,271,0,[0 0 0 0],13
272,272,0,[0 0 0 0],13
273,273,0,[0 0 0 0],13
274,274,5,[245   1   1   0],9
275,275,0,[0 0 0 0],13
276,276,0,[0 0 0 0],13
277,277,0,[0 0 0 0],13
278,278,0,[0 0 0 0],13
279,279,0,[0 0 0 0],13
280,280,0,[0 0 0 0],13
281,281,0,[0 0 0 0],13
282,282,0,[0 0 0 0],13
283,283,0,[0 0 0 0],13
284,284,0,[0 0 0 0],13
285,285,0,[0 0 0 0],13
286,286,0,[0 0 0 0],13
287,287,0,[0 0 0 0],13
288,288,0,[0 0 0 0],13
289,289,0,[0 0 0 0],13
290,290,0,[0 0 0 0],13
291,291,0,[0 0 0 0],13
292,292,0,[0 0 0 0],13
293,293,0,[0 0 0 0],13
294,294,0,[0 0 0 0],13
295,295,0,[0 0 0 0],13
296,296,0,[0 0 0 0],13
297,297,0,[0 0 0 0],13
298,298,0,[0 0 0 0],13
299,299,0,[0 0 0 0],13
300,300,0,[0 0 0 0],13
301,301,0,[0 0 0 0],13
302,302,0,[0 0 0 0],13
303,303,0,[0 0 0 0],13
304,304,0,[0 0 0 0],13
305,305,0,[0 0 0 0],13
306,306,0,[0 0 0 0],13
307,307,0,[0 0 0 0],13
308,308,0,[0 0 0 0],13
309,309,0,[0 0 0 0],13
310,310,0,[0 0 0 0],13
311,311,0,[0 0 0 0],13
312,312,0,[0 0 0 0],13
313,313,0,[0 0 0 0],13
314,314,0,[0 0 0 0],13
315,315,0,[0 0 0 0],13
316,316,0,[0 0 0 0],13
317,317,0,[0 0 0 0],13
318,318,0,[0 0 0 0],13
319,319,0,[0 0 0 0],13
320,320,0,[0 0 0 0],13
321,321,0,[0 0 0 0],13
322,322,0,[0 0 0 0],13
323,323,0,[0 0 0 0],13
324,324,0,[0 0 0 0],13
325,325,0,[0 0 0 0],13
326,326,0,[0 0 0 0],13
327,327,0,[0 0 0 0],13
328,328,0,[0 0 0 0],13
329,329,0,[0 0 0 0],13
330,330,0,[0 0 0 0],13
331,331,0,[0 0 0 0],13
332,332,0,[0 0 0 0],13
333,333,0,[0 0 0 0],13
334,334,0,[0 0 0 0],13
335,335,0,[0 0 0 0],13
336,336,0,[0 0 0 0],13
337,337,0,[0 0 0 0],13
338,338,0,[0 0 0 0],13
339,339,0,[0 0 0 0],13
340,340,0,[0 0 0 0],13
341,341,410,[20  1  1  1],11
342,342,0,[0 0 0 0],13
343,343,0,[0 0 0 0],13
344,344,0,[0 0 0 0],13
345,345,0,[0 0 0 0],13
346,346,0,[0 0 0 0],13
347,347,0,[0 0 0 0],13
348,348,0,[0 0 0 0],13
349,349,0,[0 0 0 0],13
350,350,0,[0 0 0 0],13
351,351,0,[0 0 0 0],13
352,352,0,[0 0 0 0],13
353,353,0,[0 0 0 0],13
354,354,0,[0 0 0 0],13
355,355,0,[0 0 0 0],13
356,356,0,[0 0 0 0],13
357,357,0,[0 0 0 0],13
358,358,0,[0 0 0 0],13
359,359,0,[0 0 0 0],13
360,360,0,[0 0 0 0],13
361,361,0,[0 0 0 0],13
362,362,0,[0 0 0 0],13
363,363,0,[0 0 0 0],13
364,364,0,[0 0 0 0],13
365,365,0,[0 0 0 0],13
366,366,6,[1252    1    1    0],10
367,367,0,[0 0 0 0],13
368,368,0,[0 0 0 0],13
369,369,0,[0 0 0 0],13
370,370,0,[0 0 0 0],13
371,371,0,[0 0 0 0],13
372,372,0,[0 0 0 0],13
373,373,0,[0 0 0 0],13
374,374,0,[0 0 0 0],13
375,375,0,[0 0 0 0],13
376,376,0,[0 0 0 0],13
377,377,0,[0 0 0 0],13
378,378,0,[0 0 0 0],13
379,379,0,[0 0 0 0],13
380,380,0,[0 0 0 0],13
381,381,0,[0 0 0 0],13
382,382,0,[0 0 0 0],13
383,383,0,[0 0 0 0],13
384,384,0,[0 0 0 0],13
385,385,0,[0 0 0 0],13
386,386,0,[0 0 0 0],13
387,387,0,[0 0 0 0],13
388,388,0,[0 0 0 0],13
389,389,0,[0 0 0 0],13
390,390,0,[0 0 0 0],13
391,391,0,[0 0 0 0],13
392,392,0,[0 0 0 0],13
393,393,0,[0 0 0 0],13
394,394,0,[0 0 0 0],13
395,395,0,[0 0 0 0],13
396,396,0,[0 0 0 0],13
397,397,0,[0 0 0 0],13
398,398,0,[0 0 0 0],13
399,399,7,[1233    0    1    0],10
400,400,0,[0 0 0 0],13
401,401,0,[0 0 0 0],13
402,402,0,[0 0 0 0],13
403,403,0,[0 0 0 0],13
404,404,0,[0 0 0 0],13
405,405,0,[0 0 0 0],13
406,406,0,[0 0 0 0],13
407,407,0,[0 0 0 0],13
408,408,0,[0 0 0 0],13
409,409,0,[0 0 0 0],13
410,410,0,[0 0 0 0],13
411,411,0,[0 0 0 0],13
412,412,0,[0 0 0 0],13
413,413,0,[0 0 0 0],13
414,414,0,[0 0 0 0],13
415,415,0,[0 0 0 0],13
416,416,0,[0 0 0 0],13
417,417,0,[0 0 0 0],13
418,418,0,[0 0 0 0],13
419,419,0,[0 0 0 0],13
420,420,8,[1308    0    0    0],10
421,421,10,[189   0   1   0],10
422,421,9,[745   1   1   0],11
423,422,12,[83  1  0  0],11
424,422,11,[31  1  0  0],11
425,423,0,[0 0 0 0],13
426,424,13,[1211    1    0    0],10
427,424,15,[78  1  0  0],10
428,424,14,[109   1   0   0],11
429,425,0,[0 0 0 0],13
430,426,0,[0 0 0 0],13
431,427,17,[1344    1    0    0],10
432,427,16,[1379    1    1    0],11
433,428,0,[0 0 0 0],13
434,429,0,[0 0 0 0],13
435,430,18,[79  1  1  0],10
436,430,19,[1249    0    1    0],11
437,431,0,[0 0 0 0],13
438,432,21,[58  0  0  0],11
439,432,20,[806   1   1   0],11
440,433,22,[1221    0    0    0],11
441,434,23,[575   1   1   0],11
442,435,0,[0 0 0 0],13
443,436,0,[0 0 0 0],13
444,437,0,[0 0 0 0],13
445,438,24,[1342    0    1    0],11
446,439,0,[0 0 0 0],13
447,440,25,[191   0   0   0],10
448,441,26,[1393    1    1    0],11
449,442,0,[0 0 0 0],13
450,443,28,[1100    1    1    0],10
451,443,27,[242   1   1   0],5
452,444,29,[1252    1    1    0],5
453,445,30,[1339    0    0    0],5
454,446,31,[27  1  1  0],5
455,447,0,[0 0 0 0],13
456,448,32,[96  0  1  0],1
457,449,0,[0 0 0 0],13
458,450,0,[0 0 0 0],13
459,451,33,[694   0   0   0],5
460,452,0,[0 0 0 0],13
461,453,34,[1271    1    0    0],5
462,453,35,[1267    0    0    0],5
463,454,0,[0 0 0 0],13
464,455,0,[0 0 0 0],13
465,456,36,[105   1   0   0],5
466,457,0,[0 0 0 0],13
467,458,0,[0 0 0 0],13
468,459,37,[1359    1    0    0],10
469,460,38,[1507    1    0    0],4
470,461,39,[37  1  0  0],11
471,461,40,[1363    0    0    0],4
472,462,41,[108   1   0   0],1
473,463,0,[0 0 0 0],13
474,464,43,[1173    0    1    0],1
475,464,42,[1283    1    0    0],10
476,465,44,[1313    1    0    0],7
477,466,0,[0 0 0 0],13
478,467,0,[0 0 0 0],13
479,468,0,[0 0 0 0],13
480,469,0,[0 0 0 0],13
481,470,45,[295   1   1   0],10
482,471,46,[1157    1    1    0],12
483,472,47,[128   0   1   0],4
484,473,49,[1292    1    1    0],3
485,473,50,[815   1   1   0],1
486,473,48,[727   0   0   0],1
487,474,51,[1159    1    1    0],1
488,475,52,[64  1  1  0],5
489,475,53,[483   1   0   0],1
490,476,0,[0 0 0 0],13
491,477,54,[1228    1    1    0],4
492,478,55,[1255    0    1    0],4
493,479,0,[0 0 0 0],13
494,480,56,[669   1   0   0],4
495,481,57,[535   0   0   0],4
496,482,0,[0 0 0 0],13
497,483,58,[45  1  0  0],12
498,484,59,[69  0  0  0],6
499,484,60,[131   0   0   0],1
500,485,61,[784   1   1   0],1
501,486,0,[0 0 0 0],13
502,487,64,[0 1 0 0],3
503,487,62,[1536    1    0    0],1
504,487,63,[1098    1    0    0],1
505,488,65,[583   1   1   0],1
506,489,66,[580   1   1   0],1
507,490,0,[0 0 0 0],13
508,491,67,[22  1  1  0],1
509,492,68,[780   0   1   0],11
510,492,69,[185   0   1   0],1
511,493,0,[0 0 0 0],13
512,494,70,[166   1   1   0],4
513,495,72,[688   1   0   0],0
514,495,71,[35  1  0  0],7
515,496,73,[79  0  0  0],6
516,496,74,[66  0  0  0],1
517,497,75,[491   0   0   0],4
518,498,0,[0 0 0 0],13
519,499,76,[615   0   0   0],3
520,500,0,[0 0 0 0],13
521,501,0,[0 0 0 0],13
522,502,0,[0 0 0 0],13
523,503,77,[61  0  0  0],2
524,504,78,[712   1   1   0],10
525,505,79,[502   1   1   0],11
526,506,0,[0 0 0 0],13
527,507,80,[626   1   1   0],11
528,508,411,[91  1  1  2],2
529,508,82,[71  1  0  0],1
530,508,81,[687   1   1   0],1
531,509,0,[0 0 0 0],13
532,510,83,[65  0  1  0],4
533,510,84,[30  0  1  0],11
534,511,0,[0 0 0 0],13
535,512,85,[618   1   1   0],1
536,512,86,[145   0   0   0],1
537,513,0,[0 0 0 0],13
538,514,87,[0 1 1 0],2
539,515,0,[0 0 0 0],13
540,516,0,[0 0 0 0],13
541,517,88,[1224    1    0    0],1
542,517,89,[637   0   0   0],8
543,518,91,[770   1   1   0],8
544,518,92,[136   1   0   0],8
545,518,90,[1227    1    1    0],7
546,518,94,[640   1   0   0],7
547,518,93,[393   1   1   0],7
548,519,0,[0 0 0 0],13
549,520,0,[0 0 0 0],13
550,521,95,[359   1   1   0],9
551,522,0,[0 0 0 0],13
552,523,96,[711   1   1   0],3
553,524,97,[685   0   1   0],2
554,524,98,[727   0   1   0],8
555,525,99,[1444    1    0    0],3
556,526,0,[0 0 0 0],13
557,527,100,[620   1   0   0],2
558,528,0,[0 0 0 0],13
559,529,101,[541   1   0   0],0
560,530,102,[387   0   0   0],12
561,531,0,[0 0 0 0],13
562,532,105,[705   1   0   0],7
563,532,104,[96  1  0  0],2
564,532,106,[68  1  1  0],2
565,532,103,[325   0   0   0],0
566,533,107,[64  0  0  0],0
567,533,109,[1126    1    1    0],2
568,533,108,[1210    0    1    0],2
569,533,110,[38  1  1  0],2
570,534,111,[693   1   0   0],2
571,534,112,[756   0   0   0],11
572,534,113,[941   0   0   0],2
573,535,114,[728   0   0   0],2
574,536,0,[0 0 0 0],13
575,537,115,[100   1   1   0],2
576,537,116,[789   0   0   0],0
577,538,0,[0 0 0 0],13
578,539,0,[0 0 0 0],13
579,540,0,[0 0 0 0],13
580,541,117,[829   0   0   0],5
581,542,118,[661   0   0   0],2
582,542,119,[783   0   0   0],11
583,543,120,[546   1   0   0],2
584,544,121,[619   1   1   0],2
585,544,122,[703   0   0   0],0
586,544,123,[678   0   1   0],0
587,545,124,[124   0   0   0],0
588,546,0,[0 0 0 0],13
589,547,126,[617   1   0   0],0
590,547,127,[16  0  1  0],0
591,547,125,[560   1   0   0],0
592,548,128,[628   0   1   0],0
593,549,0,[0 0 0 0],13
594,550,0,[0 0 0 0],13
595,551,412,[28  0  0  1],0
596,552,0,[0 0 0 0],13
597,553,0,[0 0 0 0],13
598,554,130,[133   0   0   0],0
599,554,129,[75  0  0  0],6
600,555,132,[1106    0    1    0],1
601,555,131,[368   0   0   0],0
602,556,0,[0 0 0 0],13
603,557,0,[0 0 0 0],13
604,558,134,[492   1   1   0],0
605,558,133,[36  0  1  0],0
606,559,135,[133   1   1   0],0
607,560,0,[0 0 0 0],13
608,561,136,[531   1   1   0],0
609,561,137,[789   0   0   0],0
610,562,138,[573   0   1   0],0
611,563,139,[65  0  1  0],0
612,563,140,[297   0   1   0],1
613,563,141,[432   1   1   0],4
614,564,142,[17  1  1  0],0
615,565,0,[0 0 0 0],13
616,566,143,[686   1   0   0],2
617,567,145,[10  0  1  0],0
618,567,144,[432   1   1   0],0
619,568,0,[0 0 0 0],13
620,569,146,[867   0   1   0],0
621,570,147,[435   0   1   0],0
622,570,148,[797   1   1   0],0
623,571,0,[0 0 0 0],13
624,572,0,[0 0 0 0],13
625,573,149,[680   1   1   0],0
626,574,0,[0 0 0 0],13
627,575,150,[38  1  0  0],2
628,575,151,[508   1   0   0],0
629,575,413,[55  0  0  1],0
630,576,153,[1296    1    1    0],0
631,576,152,[0 0 1 0],6
632,577,154,[792   0   0   0],0
633,577,155,[835   0   1   0],6
634,578,0,[0 0 0 0],13
635,579,156,[766   0   0   0],1
636,580,0,[0 0 0 0],13
637,581,157,[40  1  1  0],0
638,582,0,[0 0 0 0],13
639,583,158,[265   1   1   0],0
640,584,159,[776   0   1   0],0
641,585,414,[54  0  0  1],0
642,585,160,[0 0 0 0],13
643,586,162,[771   1   0   0],0
644,586,161,[821   1   0   0],0
645,587,163,[642   1   0   0],0
646,588,164,[348   1   0   0],1
647,589,165,[570   1   1   0],4
648,590,167,[621   1   1   0],0
649,590,168,[1211    1    0    0],0
650,590,166,[476   1   1   0],0
651,591,169,[31  0  0  0],0
652,592,0,[0 0 0 0],13
653,593,170,[462   1   0   0],0
654,594,171,[529   1   0   0],0
655,595,172,[746   0   1   0],0
656,596,173,[93  1  0  0],0
657,597,174,[654   1   0   0],0
658,598,175,[465   0   1   0],0
659,599,0,[0 0 0 0],13
660,600,0,[0 0 0 0],13
661,601,176,[741   0   0   0],0
662,601,177,[683   1   0   0],2
663,602,178,[207   0   1   0],0
664,603,179,[1192    0    1    0],0
665,604,180,[606   1   0   0],4
666,605,0,[0 0 0 0],13
667,606,0,[0 0 0 0],13
668,607,181,[1142    1    0    0],1
669,608,182,[1395    1    1    0],0
670,609,0,[0 0 0 0],13
671,610,183,[751   0   0   0],0
672,611,0,[0 0 0 0],13
673,612,185,[686   0   1   0],10
674,612,184,[847   0   0   0],0
675,613,186,[1389    1    1    0],0
676,614,188,[660   1   1   0],0
677,614,187,[71  1  0  0],0
678,615,189,[74  0  1  0],0
679,615,190,[620   0   0   0],2
680,615,415,[53  0  0  1],0
681,616,192,[630   1   1   0],0
682,616,191,[634   0   1   0],0
683,617,0,[0 0 0 0],13
684,618,0,[0 0 0 0],13
685,619,193,[1278    0    0    0],1
686,620,0,[0 0 0 0],13
687,621,0,[0 0 0 0],13
688,622,194,[28  0  0  0],0
689,623,0,[0 0 0 0],13
690,624,196,[26  1  1  0],0
691,624,195,[775   0   0   0],0
692,624,416,[42  1  1  1],0
693,625,417,[61  0  0  2],2
694,626,0,[0 0 0 0],13
695,627,0,[0 0 0 0],13
696,628,197,[588   1   1   0],0
697,628,198,[83  0  1  0],0
698,628,199,[71  1  0  0],0
699,628,200,[120   1   1   0],0
700,629,202,[253   1   0   0],0
701,629,201,[127   1   0   0],0
702,630,0,[0 0 0 0],13
703,631,0,[0 0 0 0],13
704,632,0,[0 0 0 0],13
705,633,203,[1209    0    1    0],0
706,634,418,[32  1  0  1],0
707,634,205,[532   1   1   0],0
708,634,204,[37  1  0  0],4
709,635,206,[1088    1    0    0],10
710,636,0,[0 0 0 0],13
711,637,207,[755   0   1   0],0
712,638,0,[0 0 0 0],13
713,639,419,[25  0  1  1],2
714,639,208,[63  1  0  0],0
715,639,420,[54  0  0  1],0
716,640,210,[669   0   0   0],0
717,640,209,[486   1   1   0],0
718,641,421,[42  1  1  1],0
719,642,0,[0 0 0 0],13
720,643,212,[473   0   0   0],0
721,643,211,[466   1   1   0],0
722,644,0,[0 0 0 0],13
723,645,0,[0 0 0 0],13
724,646,0,[0 0 0 0],13
725,647,0,[0 0 0 0],13
726,648,0,[0 0 0 0],13
727,649,0,[0 0 0 0],13
728,650,422,[98  0  1  2],2
729,650,213,[705   0   1   0],0
730,651,214,[1219    0    1    0],0
731,652,423,[89  0  0  2],2
732,653,0,[0 0 0 0],13
733,654,215,[21  1  0  0],0
734,655,0,[0 0 0 0],13
735,656,216,[75  1  0  0],0
736,657,0,[0 0 0 0],13
737,658,217,[1227    0    1    0],0
738,659,0,[0 0 0 0],13
739,660,0,[0 0 0 0],13
740,661,0,[0 0 0 0],13
741,662,218,[570   0   1   0],1
742,662,424,[45  1  1  1],0
743,663,0,[0 0 0 0],13
744,664,425,[6 1 1 1],8
745,665,0,[0 0 0 0],13
746,666,0,[0 0 0 0],13
747,667,0,[0 0 0 0],13
748,668,0,[0 0 0 0],13
749,669,0,[0 0 0 0],13
750,670,0,[0 0 0 0],13
751,671,219,[1271    1    0    0],4
752,671,426,[67  1  0  2],2
753,672,0,[0 0 0 0],13
754,673,220,[179   1   0   0],0
755,673,427,[64  0  1  2],2
756,674,0,[0 0 0 0],13
757,675,428,[122   1   1   2],2
758,676,221,[145   1   1   0],4
759,677,429,[46  1  0  1],8
760,678,430,[65  0  0  2],2
761,679,0,[0 0 0 0],13
762,680,0,[0 0 0 0],13
763,681,0,[0 0 0 0],13
764,682,431,[43  0  1  1],0
765,683,0,[0 0 0 0],13
766,684,0,[0 0 0 0],13
767,685,0,[0 0 0 0],13
768,686,0,[0 0 0 0],13
769,687,223,[511   0   0   0],0
770,687,222,[207   1   1   0],0
771,687,432,[49  0  0  1],5
772,688,224,[53  1  0  0],1
773,689,433,[68  1  0  2],2
774,690,434,[23  0  0  1],0
775,690,225,[141   0   1   0],0
776,691,0,[0 0 0 0],13
777,692,0,[0 0 0 0],13
778,693,226,[561   0   0   0],0
779,694,227,[656   1   0   0],0
780,695,228,[1171    1    1    0],0
781,696,0,[0 0 0 0],13
782,697,0,[0 0 0 0],13
783,698,0,[0 0 0 0],13
784,699,230,[50  1  0  0],0
785,699,229,[81  0  0  0],0
786,700,435,[56  0  0  1],0
787,700,231,[627   0   1   0],0
788,701,0,[0 0 0 0],13
789,702,437,[27  1  1  1],0
790,702,436,[1 0 1 1],0
791,702,438,[37  1  1  1],0
792,703,0,[0 0 0 0],13
793,704,0,[0 0 0 0],13
794,705,232,[1367    1    1    0],0
795,705,439,[57  1  0  1],0
796,706,233,[876   0   1   0],0
797,707,234,[486   0   1   0],0
798,707,235,[153   1   1   0],0
799,708,0,[0 0 0 0],13
800,709,236,[663   0   0   0],0
801,709,440,[12  1  0  1],0
802,710,441,[13  0  1  1],0
803,711,0,[0 0 0 0],13
804,712,442,[61  0  0  2],2
805,713,237,[14  1  1  0],0
806,714,443,[25  1  1  1],0
807,715,238,[187   0   1   0],0
808,715,444,[10  1  0  1],0
809,715,239,[34  1  1  0],0
810,716,445,[26  1  1  1],0
811,717,240,[369   0   1   0],0
812,717,241,[104   0   1   0],0
813,718,0,[0 0 0 0],13
814,719,242,[1021    0    0    0],0
815,719,243,[718   0   0   0],0
816,720,0,[0 0 0 0],13
817,721,245,[1279    1    0    0],0
